user_id,avg_memory,wall_clock,system_time,blanks,language,compiler_version,cloc,nbr_file_in,compiled,swap_main_memory,avg_RAM,exit_code,comments,nbr_file_out,nbr_page_faults,exe_size,compile_error_msg,run_error_msg,max_RAM,user_time
pat3ik,0,0.16,0.00,5,C++,-,56,24,0,0,0,0,0,0,0,10792,-,-,3308,0.13
pavlovic,0,1.87,0.01,9,Python,2.7,24,8,0,0,0,0,1,0,0,806,-,-,39992,1.84
pawnbot,0,0.00,0.00,147,C++,-,115,64,0,0,0,0,0,0,1,32696,-,-,2620,0.00
pchel,0,0.04,0.00,24,Java,-,148,0,0,0,0,1,6,72,0,3702,-,java.nio.file.NoSuchFileException:,24104,0.03
pedromnasc,-,-,-,88,C++,-,50,-,0,-,-,-1,0,-,-,9632,-,-,-,-
pekkus,-,-,-,6,C++,-,65,-,0,-,-,-15,1,-,-,17528,-,Timeout,-,-
perlsofwisdom,0,0.00,0.00,42,C++,-,29,24,0,0,0,0,0,0,0,11888,-,-,2388,0.00
pershik,-,-,-,17,C++,-,100,-,0,-,-,-1,3,-,-,11456,-,-,-,-
peterisr,0,0.17,0.00,20,C++,-,116,32,0,0,0,0,2,0,0,12688,-,-,9148,0.16
peterpan,0,0.07,0.00,7,C,-,53,0,0,0,0,0,2,0,0,8160,-,-,3392,0.03
peterz,0,0.05,0.00,1,C++,-,51,24,0,0,0,0,0,0,0,9528,-,-,7328,0.04
petrzlen,-,-,-,9,C++,-,50,-,0,-,-,-1,3,-,-,11200,-,-,-,-
pexeer,-,-,-,49,C++,-,37,-,0,-,-,-1,0,-,-,7552,-,-,-,-
pftbest,0,1.75,0.01,6,Python,3.5,24,0,0,0,0,0,3,0,0,770,-,-,48988,1.74
photon,0,0.05,0.00,86,C++,-,58,24,0,0,0,0,8,0,0,10136,-,-,11864,0.04
phyllo,0,0.18,0.00,141,C++,-,101,32,0,0,0,0,2,0,0,15096,-,-,4256,0.18
pianojuggler4,0,1.03,0.33,6,Java,-,35,0,0,0,0,0,0,80,0,1662,-,-,293980,1.00
pinpin,-,-,-,12,C++,-,64,-,1,-,-,-1,7,-,-,-,not declared,-,-,-
