user_id,syatem_time,wall_clock,blanks,avg_memory,language,compiler_version,cloc,nbr_file_in,compiled,swap_main_memory,avg_RAM,exit_code,comments,nbr_file_out,nbr_page_faults,max_RAM,user_time
jbaldus,0.00,0.00,6,0,C++,-,35,0,0,0,0,0,0,0,0,2508,0.00
suchithjn225,0.00,0.00,5,0,C++,-,87,0,0,0,0,0,7,0,0,2612,0.00
Junzologies,0.00,0.00,7,0,Python,2.7,17,0,0,0,0,0,0,0,0,6624,0.00
Mods,0.00,0.05,12,0,java,-,74,0,1,0,0,1,3,64,0,21488,0.04
iPeter,0.00,0.00,7,0,C++,-,46,0,0,0,0,0,0,0,0,2280,0.00
beerscout,0.00,0.00,10,0,C++,-,85,0,0,0,0,0,0,0,0,2540,0.00
matthew99,0.00,0.00,6,0,C++,-,42,0,0,0,0,0,0,0,0,2624,0.00
Tish,0.00,0.00,14,0,Python,2.7,49,0,2,0,0,2,0,0,0,6196,0.00
Shanin,0.00,0.00,5,0,C++,-,55,0,0,0,0,0,4,0,0,2460,0.00
art926,-,-,14,-,C++,-,65,-,-1,-,-,-1,3,-,-,-,-
Shulik,0.00,0.00,16,0,C++,-,65,0,0,0,0,0,0,0,0,2728,0.00
bluewang,-,-,0,-,C++,-,36,-,-15,-,-,-15,0,-,-,-,-
larkinzhang,0.00,0.00,9,0,C++,-,48,0,0,0,0,0,0,0,0,2604,0.00
peta,0.00,0.01,3,0,Python,2.7,25,8,0,0,0,0,0,0,0,6408,0.00
humanfy,0.00,0.00,0,0,C++,-,34,0,0,0,0,0,0,0,0,2556,0.00
liniku,0.00,0.00,8,0,C++,-,65,0,0,0,0,0,0,0,0,2488,0.00
JialinKong,-,-,2,-,C++,-,71,-,-1,-,-,-1,0,-,-,-,-
Loci,0.00,0.01,21,0,Python,2.7,27,8,0,0,0,0,6,0,0,6648,0.00
thunderbird,0.00,0.00,8,0,C++,-,90,0,0,0,0,0,1,8,0,2616,0.00
theanht1,0.00,0.00,9,0,C++,-,54,0,0,0,0,0,1,0,0,2588,0.00
LienTran,0.00,0.00,6,0,C++,-,47,0,0,0,0,0,0,0,0,2628,0.00
daiwb,0.00,0.00,5,0,C++,-,63,0,0,0,0,0,0,0,0,2512,0.00
Grandrogue,0.00,0.00,7,0,C++,-,61,0,0,0,0,0,0,0,0,2512,0.00
sakulasd,0.00,0.00,1,0,C++,-,49,0,0,0,0,0,8,0,0,2692,0.00
Dorel,0.00,0.00,4,0,Python,2.7,32,0,0,0,0,0,0,0,0,6600,0.00
cseteram,0.02,0.64,19,0,C++,-,59,0,0,0,0,0,9,129080,0,2748,0.62
lucazagarella,-,-,21,-,C#,-,97,-,-1,-,-,-1,0,-,-,-,-
MarshallOfSound,-,-,6,-,java,-,78,-,-1,-,-,-1,6,-,-,-,-
Jonick,0.00,0.00,3,0,C++,-,47,0,0,0,0,0,0,0,0,2600,0.00
Lonelywind,0.00,0.00,8,0,C++,-,66,0,0,0,0,0,9,0,0,2600,0.00
tjdrn,0.00,0.00,7,0,C++,-,54,0,0,0,0,0,0,0,0,2748,0.00
palvi,0.00,0.07,1,0,java,-,64,0,0,0,0,0,3,72,0,25528,0.08
hamlet,0.00,0.00,21,0,C++,-,81,0,0,0,0,0,2,0,0,2492,0.00
indicoder,0.00,0.05,15,0,java,-,80,0,1,0,0,1,2,64,0,21828,0.04
parkjs814,0.00,0.07,6,0,java,-,71,0,0,0,0,0,3,72,0,30436,0.08
